gene_name	panel_count	gene_synonyms	gene_description
FZR1	3	CDC20C|CDH1|FZR|FZR2|HCDH|HCDH1	fizzy/cell division cycle 20 related 1
DNM2	3	CMT2M|CMTDI1|CMTDIB|DI-CMTB|DYN2|DYNII|LCCS5	dynamin 2
EED	3	HEED|WAIT1	embryonic ectoderm development
FAM175A	3	ABRA1|CCDC98	family with sequence similarity 175 member A
PIK3R3	3	p55|p55-GAMMA|p55PIK	phosphoinositide-3-kinase regulatory subunit 3
SAMD9	3	C7orf5|DRIF1|NFTC|OEF1|OEF2	sterile alpha motif domain containing 9
HCAR1	3	FKSG80|GPR104|GPR81|HCA1|LACR1|TA-GPCR|TAGPCR	hydroxycarboxylic acid receptor 1
G6PD	3	G6PD1	glucose-6-phosphate dehydrogenase
IKZF3	3	AIO|AIOLOS|ZNFN1A3	IKAROS family zinc finger 3
IKZF2	3	ANF1A2|HELIOS|ZNF1A2|ZNFN1A2	IKAROS family zinc finger 2
GDNF	3	ATF1|ATF2|HFB1-GDNF|HSCR3	glial cell derived neurotrophic factor
PDGFA	3	PDGF-A|PDGF1	platelet-derived growth factor alpha polypeptide
PLEKHG5	3	CMTRIC|DSMA4|GEF720|Syx|Tech	pleckstrin homology and RhoGEF domain containing G5
FHIT	2	AP3Aase|FRA3B	fragile histidine triad
ARFRP1	2	ARL18|ARP|Arp1	ADP ribosylation factor related protein 1
PDCD11	2	ALG-4|ALG4|NFBP|RRP5	programmed cell death 11
ZNF703	2	NLZ1|ZEPPO1|ZNF503L|ZPO1	zinc finger protein 703
KDM2B	2	CXXC2|FBXL10|Fbl10|JHDM1B|PCCX2	lysine (K)-specific demethylase 2B
NUP93	2	NIC96	nucleoporin 93kDa
PIK3C3	2	VPS34|Vps34|hVps34	phosphatidylinositol 3-kinase catalytic subunit type 3
GTSE1	2	B99	G2 and S-phase expressed 1
BCL2A1	2	ACC-1|ACC-2|ACC1|ACC2|BCL2L5|BFL1|GRS|HBPA1	BCL2-related protein A1
PSMD11	2	Rpn6|S9|p44.5	proteasome 26S subunit, non-ATPase 11
SULT1A1	2	HAST1/HAST2|P-PST|PST|ST1A1|ST1A3|STP|STP1|TSPST1	sulfotransferase family 1A member 1
SLIT2	2	SLIL3|Slit-2	slit guidance ligand 2
CD44	2	CDW44|CSPG8|ECMR-III|HCELL|HUTCH-I|IN|LHR|MC56|MDU2|MDU3|MIC4|Pgp1	CD44 molecule (Indian blood group)
SERP2	2	C13orf21|bA269C23.1	stress-associated endoplasmic reticulum protein family member 2
RELN	2	ETL7|LIS2|PRO1598|RL	reelin
RELA	2	NFKB3|p65	v-rel avian reticuloendotheliosis viral oncogene homolog A
HSD3B1	2	3BETAHSD|HSD3B|HSDB3|HSDB3A|I|SDR11E1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1
PAK1	2	PAKalpha	p21 protein (Cdc42/Rac)-activated kinase 1
CAMTA1	2	CANPMR	calmodulin binding transcription activator 1
IGF1	2	IGF-I|IGFI|MGF	insulin like growth factor 1
SNCAIP	2	SYPH1|Sph1	synuclein alpha interacting protein
MEF2C	2	C5DELq14.3|DEL5q14.3	myocyte enhancer factor 2C
DNAJB1	2	HSPF1|Hdj1|Hsp40|RSPH16B|Sis1	DnaJ heat shock protein family (Hsp40) member B1
GAS6	2	AXLLG|AXSF	growth arrest specific 6
WISP3	2	CCN6|LIBC|PPAC|PPD|WISP-3	WNT1 inducible signaling pathway protein 3
MALAT1	2	HCN|LINC00047|NCRNA00047|NEAT2|PRO2853|mascRNA	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
TGFBR1	2	AAT5|ACVRLK4|ALK-5|ALK5|ESS1|LDS1|LDS1A|LDS2A|MSSE|SKR4|TGFR-1|tbetaR-I	transforming growth factor, beta receptor 1
SMARCA1	2	ISWI|NURF140|SNF2L|SNF2L1|SNF2LB|SNF2LT|SWI|SWI2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1
CCT6B	2	CCT-zeta-2|CCTZ-2|Cctz2|TCP-1-zeta-2|TSA303	chaperonin containing TCP1, subunit 6B (zeta 2)
CD36	2	BDPLT10|CHDS7|FAT|GP3B|GP4|GPIV|PASIV|SCARB3	CD36 molecule (thrombospondin receptor)
DNMT1	2	ADCADN|AIM|CXXC9|DNMT|HSN1E|MCMT	DNA (cytosine-5-)-methyltransferase 1
PLK2	2	SNK|hPlk2|hSNK	polo-like kinase 2
DMD	2	BMD|CMD3B|DXS142|DXS164|DXS206|DXS230|DXS239|DXS268|DXS269|DXS270|DXS272|MRX85	dystrophin
IFNGR1	2	CD119|IFNGR|IMD27A|IMD27B	interferon gamma receptor 1
GID4	2	C17orf39|VID24	GID complex subunit 4 homolog
PTPN2	2	PTN2|PTPT|TC-PTP|TCELLPTP|TCPTP	protein tyrosine phosphatase, non-receptor type 2
HOXA11	2	HOX1|HOX1I	homeobox A11
EREG	2	EPR|ER|Ep	epiregulin
FOXO4	2	AFX|AFX1|MLLT7	forkhead box O4
PDK1	2	-	pyruvate dehydrogenase kinase, isozyme 1
EIF1AX	2	EIF1A|EIF1AP1|EIF4C|eIF-1A|eIF-4C	eukaryotic translation initiation factor 1A, X-linked
CD22	2	SIGLEC-2|SIGLEC2	CD22 molecule
SOCS3	2	ATOD4|CIS3|Cish3|SOCS-3|SSI-3|SSI3	suppressor of cytokine signaling 3
SOCS2	2	CIS2|Cish2|SOCS-2|SSI-2|SSI2|STATI2	suppressor of cytokine signaling 2
ACSL3	2	ACS3|FACL3|PRO2194	acyl-CoA synthetase long-chain family member 3
ACSL6	2	ACS2|FACL6|LACS 6|LACS2|LACS5	acyl-CoA synthetase long-chain family member 6
CHD1	2	-	chromodomain helicase DNA binding protein 1
CHD2	2	EEOC	chromodomain helicase DNA binding protein 2
CHD4	2	CHD-4|Mi-2b|Mi2-BETA	chromodomain helicase DNA binding protein 4
FLYWCH1	2	-	FLYWCH-type zinc finger 1
DCUN1D1	2	DCNL1|DCUN1L1|RP42|SCCRO|SCRO|Tes3	DCN1, defective in cullin neddylation 1, domain containing 1
TNFRSF11A	2	CD265|FEO|LOH18CR1|ODFR|OFE|OPTB7|OSTS|PDB2|RANK|TRANCER	tumor necrosis factor receptor superfamily member 11a
NCOR2	2	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	nuclear receptor corepressor 2
NCOR1	2	N-CoR|N-CoR1|PPP1R109|TRAC1|hN-CoR	nuclear receptor corepressor 1
BTG2	2	PC3|TIS21	BTG family member 2
TMEM30A	2	C6orf67|CDC50A	transmembrane protein 30A
HIST1H1E	2	H1.4|H1E|H1F4|H1s-4|dJ221C16.5	histone cluster 1, H1e
SOS1	2	GF1|GGF1|GINGF|HGF|NS4	SOS Ras/Rac guanine nucleotide exchange factor 1
TACC3	2	ERIC-1|ERIC1	transforming, acidic coiled-coil containing protein 3
KIF20B	2	CT90|KRMP1|MPHOSPH1|MPP-1|MPP1	kinesin family member 20B
MKI67	2	KIA|MIB-|MIB-1|PPP1R105	marker of proliferation Ki-67
HIST1H2AM	2	H2A.1|H2A/n|H2AFN|dJ193B12.1	histone cluster 1, H2am
HIST1H2AL	2	H2A.i|H2A/i|H2AFI|dJ193B12.9	histone cluster 1, H2al
HIST1H2AG	2	H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f	histone cluster 1, H2ag
TLX3	2	HOX11L2|RNX	T-cell leukemia homeobox 3
BCL2L11	2	BAM|BIM|BOD	BCL2-like 11 (apoptosis facilitator)
TRAF2	2	MGC:45012|TRAP|TRAP3	TNF receptor associated factor 2
TRAF3	2	CAP-1|CAP1|CD40bp|CRAF1|IIAE5|LAP1	TNF receptor associated factor 3
TRAF5	2	MGC:39780|RNF84	TNF receptor associated factor 5
TRAF7	2	RFWD1|RNF119	TNF receptor associated factor 7
DIS3	2	2810028N01Rik|EXOSC11|KIAA1008|RRP44|dis3p	DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease
LRRK2	2	AURA17|DARDARIN|PARK8|RIPK7|ROCO2	leucine-rich repeat kinase 2
GNA12	2	NNX3|RMP|gep	guanine nucleotide binding protein (G protein) alpha 12
MIB1	2	DIP-1|DIP1|LVNC7|MIB|ZZANK2|ZZZ6	mindbomb E3 ubiquitin protein ligase 1
WEE1	2	WEE1A|WEE1hu	WEE1 G2 checkpoint kinase
ZMYM3	2	DXS6673E|MYM|XFIM|ZNF198L2|ZNF261	zinc finger, MYM-type 3
CYP3A4	2	CP33|CP34|CYP3A|CYP3A3|CYPIIIA3|CYPIIIA4|HLP|NF-25|P450C3|P450PCN1	cytochrome P450 family 3 subfamily A member 4
NCOA3	2	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	nuclear receptor coactivator 3
TLL2	2	-	tolloid like 2
CYP2C8	2	CPC8|CYPIIC8|MP-12/MP-20	cytochrome P450 family 2 subfamily C member 8
BAX	2	BCL2L4	BCL2-associated X protein
PLCG2	2	APLAID|FCAS3|PLC-IV|PLC-gamma-2	phospholipase C gamma 2
KLF4	2	EZF|GKLF	Kruppel-like factor 4 (gut)
MDC1	2	NFBD1	mediator of DNA damage checkpoint 1
P2RY8	2	P2Y8	purinergic receptor P2Y, G-protein coupled, 8
HOXB13	2	PSGD	homeobox B13
PKN1	2	DBK|PAK-1|PAK1|PKN|PKN-ALPHA|PRK1|PRKCL1	protein kinase N1
MAP3K14	2	FTDCR1B|HS|HSNIK|NIK	mitogen-activated protein kinase kinase kinase 14
EXOSC6	2	EAP4|MTR3|Mtr3p|hMtr3p|p11	exosome component 6
SET	2	2PP2A|I2PP2A|IGAAD|IPP2A2|PHAPII|TAF-I|TAF-IBETA	SET nuclear proto-oncogene
S1PR2	2	AGR16|EDG-5|EDG5|Gpcr13|H218|LPB2|S1P2	sphingosine-1-phosphate receptor 2
IL6R	2	CD126|IL-6R-1|IL-6RA|IL6Q|IL6RA|IL6RQ|gp80	interleukin 6 receptor
CDK7	2	CAK1|CDKN7|HCAK|MO15|STK1|p39MO15	cyclin-dependent kinase 7
HOXA9	2	ABD-B|HOX1|HOX1.7|HOX1G	homeobox A9
PTK2	2	FADK|FAK|FAK1|FRNK|PPP1R71|p125FAK|pp125FAK	protein tyrosine kinase 2
CEP57	2	MVA2|PIG8|TSP57	centrosomal protein 57kDa
MSH3	2	DUP|MRP1	mutS homolog 3
PRKCA	2	AAG6|PKC-alpha|PKCA|PRKACA	protein kinase C, alpha
PRKCD	2	ALPS3|CVID9|MAY1|PKCD|nPKC-delta	protein kinase C, delta
GSTP1	2	DFN7|FAEES3|GST3|GSTP|HEL-S-22|PI	glutathione S-transferase pi 1
RPN1	2	OST1|RBPH1	ribophorin I
HIST1H1D	2	H1.3|H1D|H1F3|H1s-2	histone cluster 1, H1d
MAP3K6	2	ASK2|MAPKKK6|MEKK6	mitogen-activated protein kinase kinase kinase 6
PASK	2	PASKIN|STK37	PAS domain containing serine/threonine kinase
INPP5D	2	SHIP|SHIP-1|SHIP1|SIP-145|hp51CN|p150Ship	inositol polyphosphate-5-phosphatase D
DUX4	2	DUX4L	double homeobox 4
STIL	2	MCPH7|SIL	SCL/TAL1 interrupting locus
FOS	2	AP-1|C-FOS|p55	FBJ murine osteosarcoma viral oncogene homolog
SFPQ	2	-	splicing factor proline/glutamine-rich
IL1B	2	IL-1|IL1-BETA|IL1F2	interleukin 1 beta
RABEP1	2	RAB5EP|RABPT5	rabaptin, RAB GTPase binding effector protein 1
MAST2	2	MAST205|MTSSK	microtubule associated serine/threonine kinase 2
TBL1XR1	2	C21|DC42|IRA1|TBLR1	transducin (beta)-like 1 X-linked receptor 1
IL6	2	BSF-2|BSF2|CDF|HGF|HSF|IFN-beta-2|IFNB2|IL-6	interleukin 6
PALLD	2	CGI-151|CGI151|MYN|PNCA1|SIH002	palladin, cytoskeletal associated protein
DTX1	2	hDx-1	deltex 1, E3 ubiquitin ligase
JARID2	2	JMJ	jumonji and AT-rich interaction domain containing 2
AIP	2	ARA9|FKBP16|FKBP37|SMTPHN|XAP-2|XAP2	aryl hydrocarbon receptor interacting protein
RMI2	2	BLAP18|C16orf75	RecQ mediated genome instability 2
MSI2	2	MSI2H	musashi RNA binding protein 2
SSX4	2	CT5.4	synovial sarcoma, X breakpoint 4
INPP4A	2	INPP4|TVAS1	inositol polyphosphate-4-phosphatase type I A
DDX3X	2	CAP-Rf|DBX|DDX14|DDX3|HLP2	DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked
FASLG	2	ALPS1B|APT1LG1|APTL|CD178|CD95-L|CD95L|FASL|TNFSF6	Fas ligand (TNF superfamily, member 6)
PRF1	2	FLH2|HPLH2|P1|PFN1|PFP	perforin 1 (pore forming protein)
MGMT	2	-	O-6-methylguanine-DNA methyltransferase
BRSK1	2	hSAD1	BR serine/threonine kinase 1
CLTC	2	CHC|CHC17|CLH-17|CLTCL2|Hc	clathrin, heavy chain (Hc)
FAF1	2	CGI-03|HFAF1s|UBXD12|UBXN3A|hFAF1	Fas (TNFRSF6) associated factor 1
HIST1H2BD	2	H2B.1B|H2B/b|H2BFB|HIRIP2|dJ221C16.6	histone cluster 1, H2bd
HIST1H2BC	2	H2B.1|H2B/l|H2BFL|dJ221C16.3	histone cluster 1, H2bc
FGF6	2	HBGF-6|HST2	fibroblast growth factor 6
HIST1H2BO	2	H2B.2|H2B/n|H2BFN|dJ193B12.2	histone cluster 1, H2bo
HIST1H2BJ	2	H2B/r|H2BFR|H2BJ	histone cluster 1, H2bj
HIST1H2BK	2	H2B/S|H2BFAiii|H2BFT|H2BK	histone cluster 1, H2bk
STAT1	2	CANDF7|IMD31A|IMD31B|IMD31C|ISGF-3|STAT91	signal transducer and activator of transcription 1
TNF	2	DIF|TNF-alpha|TNFA|TNFSF2	tumor necrosis factor
JAZF1	2	TIP27|ZNF802	JAZF zinc finger 1
DUSP9	2	MKP-4|MKP4	dual specificity phosphatase 9
DUSP2	2	PAC-1|PAC1	dual specificity phosphatase 2
LYL1	2	bHLHa18	lymphoblastic leukemia associated hematopoiesis regulator 1
ELL	2	C19orf17|ELL1|MEN|PPP1R68	elongation factor RNA polymerase II
HEY1	2	BHLHb31|CHF2|HERP2|HESR1|HRT-1|OAF1|hHRT1	hes-related family bHLH transcription factor with YRPW motif 1
WDR90	2	C16orf15|C16orf16|C16orf17|C16orf18|C16orf19	WD repeat domain 90
STAT5A	2	MGF|STAT5	signal transducer and activator of transcription 5A
PIK3C2A	2	CPK|PI3-K-C2(ALPHA)|PI3-K-C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha
PIK3C2G	2	PI3K-C2-gamma|PI3K-C2GAMMA	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma
VEGFB	2	VEGFL|VRF	vascular endothelial growth factor B
FBXO31	2	FBX14|FBXO14|Fbx31|MRT45|pp2386	F-box protein 31
LEF1	2	LEF-1|TCF10|TCF1ALPHA|TCF7L3	lymphoid enhancer-binding factor 1
PCLO	2	ACZ|PCH3	piccolo presynaptic cytomatrix protein
ARID5B	2	DESRT|MRF-2|MRF2	AT-rich interaction domain 5B
CAD	2	-	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase
CXCR4	2	CD184|D2S201E|FB22|HM89|HSY3RR|LAP-3|LAP3|LCR1|LESTR|NPY3R|NPYR|NPYRL|NPYY3R|WHIM|WHIMS	chemokine (C-X-C motif) receptor 4
E2F3	2	E2F-3	E2F transcription factor 3
E2F1	2	E2F-1|RBAP1|RBBP3|RBP3	E2F transcription factor 1
TUSC3	2	D8S1992|M33|MRT22|MRT7|N33|OST3A	tumor suppressor candidate 3
PTK2B	2	CADTK|CAKB|FADK2|FAK2|PKB|PTK|PYK2|RAFTK	protein tyrosine kinase 2 beta
CYP3A5	2	CP35|CYPIIIA5|P450PCN3|PCN3	cytochrome P450 family 3 subfamily A member 5
WNT10B	2	SHFM6|WNT-12	wingless-type MMTV integration site family member 10B
CSF3	2	C17orf33|CSF3OS|GCSF	colony stimulating factor 3
ACTB	2	BRWS1|PS1TP5BP1	actin, beta
ZNF24	2	KOX17|RSG-A|ZNF191|ZSCAN3|Zfp191	zinc finger protein 24
SHH	2	HHG1|HLP3|HPE3|MCOPCB5|SMMCI|TPT|TPTPS	sonic hedgehog
RANBP2	2	ADANE|ANE1|IIAE3|NUP358|TRP1|TRP2	RAN binding protein 2
NUTM1	2	C15orf55|FAM22H|NUT	NUT midline carcinoma, family member 1
KEL	2	CD238|ECE3	Kell blood group, metallo-endopeptidase
TGFB1	2	CED|DPD1|LAP|TGFB|TGFbeta	transforming growth factor beta 1
PRSS1	2	TRP1|TRY1|TRY4|TRYP1	protease, serine 1
PRSS8	2	CAP1|PROSTASIN	protease, serine 8
NOD1	2	CARD4|CLR7.1|NLRC1	nucleotide binding oligomerization domain containing 1
YWHAE	2	14-3-3E|HEL2|KCIP-1|MDCR|MDS	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon
ZBTB2	2	ZNF437	zinc finger and BTB domain containing 2
NR4A3	2	CHN|CSMF|MINOR|NOR1|TEC	nuclear receptor subfamily 4 group A member 3
ABI1	2	ABI-1|ABLBP4|E3B1|NAP1BP|SSH3BP|SSH3BP1	abl-interactor 1
MMP9	2	CLG4B|GELB|MANDP2|MMP-9	matrix metallopeptidase 9
CHN1	2	ARHGAP2|CHN|DURS2|NC|RHOGAP2	chimerin 1
SSX2	2	CT5.2|CT5.2A|HD21|HOM-MEL-40|SSX	synovial sarcoma, X breakpoint 2
H3F3C	2	H3.5	H3 histone, family 3C
H3F3B	2	H3.3B	H3 histone, family 3B (H3.3B)
PATZ1	2	MAZR|PATZ|RIAZ|ZBTB19|ZNF278|ZSG|dJ400N23	POZ (BTB) and AT hook containing zinc finger 1
LZTR1	2	BTBD29|LZTR-1|SWNTS2	leucine-zipper-like transcription regulator 1
HSPH1	2	HSP105|HSP105A|HSP105B|NY-CO-25	heat shock protein family H (Hsp110) member 1
TFRC	2	CD71|T9|TFR|TFR1|TR|TRFR|p90	transferrin receptor
FGF23	2	ADHR|FGFN|HPDR2|HYPF|PHPTC	fibroblast growth factor 23
SS18L1	2	CREST|LP2261	synovial sarcoma translocation gene on chromosome 18-like 1
RAD51B	2	R51H2|RAD51L1|REC2	RAD51 paralog B
YES1	2	HsT441|P61-YES|Yes|c-yes	YES proto-oncogene 1, Src family tyrosine kinase
TERC	2	DKCA1|PFBMFT2|SCARNA19|TR|TRC3|hTR	telomerase RNA component
MLLT1	2	ENL|LTG19|YEATS1	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 1
MLLT3	2	AF9|YEATS3	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3
SPTA1	2	EL2|HPP|HS3|SPH3|SPTA	spectrin, alpha, erythrocytic 1
PLK1	2	PLK|STPK13	polo-like kinase 1
TLE3	2	ESG|ESG3|GRG3|HsT18976	transducin like enhancer of split 3
KLHL6	2	-	kelch like family member 6
MAGED1	2	DLXIN-1|NRAGE	MAGE family member D1
ELP2	2	SHINC-2|STATIP1|StIP	elongator acetyltransferase complex subunit 2
ASXL2	2	ASXH2	additional sex combs like 2, transcriptional regulator
PCBP1	2	HEL-S-85|HNRPE1|HNRPX|hnRNP-E1|hnRNP-X	poly(rC) binding protein 1
TNFSF13B	2	BAFF|BLYS|CD257|DTL|TALL-1|TALL1|THANK|TNFSF20|ZTNF4	tumor necrosis factor superfamily member 13b
EPHA2	2	ARCC2|CTPA|CTPP1|CTRCT6|ECK	EPH receptor A2
FGF10	2	-	fibroblast growth factor 10
FGF14	2	FGF-14|FHF-4|FHF4|SCA27	fibroblast growth factor 14
RIF1	2	-	replication timing regulatory factor 1
CREB3L2	2	BBF2H7	cAMP responsive element binding protein 3-like 2
CREB3L1	2	OASIS	cAMP responsive element binding protein 3-like 1
PTPRO	2	GLEPP1|NPHS6|PTP-OC|PTP-U2|PTPROT|PTPU2|R-PTP-O	protein tyrosine phosphatase, receptor type, O
PIK3R5	2	F730038I15Rik|FOAP-2|P101-PI3K|p101	phosphoinositide-3-kinase regulatory subunit 5
SMARCD1	2	BAF60A|CRACD1|Rsc6p	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
GATA6	2	-	GATA binding protein 6
ACVR1B	2	ACTRIB|ACVRLK4|ALK4|SKR2	activin A receptor type IB
SOX10	2	DOM|PCWH|WS2E|WS4|WS4C	SRY-box 10
SOX17	2	VUR3	SRY-box 17
IGH	2	IGD1|IGH.1@|IGH@|IGHD@|IGHDY1|IGHJ|IGHJ@|IGHV|IGHV@	immunoglobulin heavy locus
TNFRSF10B	2	CD262|DR5|KILLER|KILLER/DR5|TRAIL-R2|TRAILR2|TRICK2|TRICK2A|TRICK2B|TRICKB|ZTNFR9	tumor necrosis factor receptor superfamily member 10b
POLH	2	RAD30|RAD30A|XP-V|XPV	polymerase (DNA directed), eta
ASPM	2	ASP|Calmbp1|MCPH5	abnormal spindle microtubule assembly
FGF2	2	BFGF|FGF-2|FGFB|HBGF-2	fibroblast growth factor 2 (basic)
FGF1	2	AFGF|ECGF|ECGF-beta|ECGFA|ECGFB|FGF-1|FGF-alpha|FGFA|GLIO703|HBGF-1|HBGF1	fibroblast growth factor 1 (acidic)
PSMD4	2	AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5	proteasome 26S subunit, non-ATPase 4
BAD	2	BBC2|BCL2L8	BCL2 associated agonist of cell death
NGFR	2	CD271|Gp80-LNGFR|TNFRSF16|p75(NTR)|p75NTR	nerve growth factor receptor
QKI	2	Hqk|QK|QK1|QK3|hqkI	QKI, KH domain containing, RNA binding
FGR	2	SRC2|c-fgr|c-src2|p55-Fgr|p55c-fgr|p58-Fgr|p58c-fgr	FGR proto-oncogene, Src family tyrosine kinase
LTBP1	2	-	latent transforming growth factor beta binding protein 1
RASGEF1A	2	CG4853	RasGEF domain family member 1A
CSK	2	-	c-src tyrosine kinase
RAG1	2	RAG-1|RNF74	recombination activating gene 1
IRF2	2	IRF-2	interferon regulatory factor 2
CD70	2	CD27L|CD27LG|TNFSF7	CD70 molecule
HDAC7	2	HD7|HD7A|HDAC7A	histone deacetylase 7
GABRA6	2	-	gamma-aminobutyric acid (GABA) A receptor, alpha 6
ZBTB16	2	PLZF|ZNF145	zinc finger and BTB domain containing 16
PSEN1	2	AD3|FAD|PS-1|PS1|S182	presenilin 1
BTLA	2	BTLA1|CD272	B and T lymphocyte associated
USP6	2	HRP1|TRE17|TRE2|TRESMCR|Tre-2|USP6-short	ubiquitin specific peptidase 6
HIP1	2	HIP-I|ILWEQ|SHON|SHONbeta|SHONgamma	huntingtin interacting protein 1
RAD54L	2	HR54|RAD54A|hHR54|hRAD54	RAD54-like (S. cerevisiae)
KDM4C	2	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine (K)-specific demethylase 4C
PSME3	2	HEL-S-283|Ki|PA28-gamma|PA28G|PA28gamma|REG-GAMMA	proteasome activator subunit 3
GADD45B	2	GADD45BETA|MYD118	growth arrest and DNA damage inducible beta
MAGI2	2	ACVRIP1|AIP-1|AIP1|ARIP1|MAGI-2|SSCAM	membrane associated guanylate kinase, WW and PDZ domain containing 2
GUSB	2	BG|MPS7	glucuronidase, beta
FRS2	2	FRS2A|FRS2alpha|SNT|SNT-1|SNT1	fibroblast growth factor receptor substrate 2
TNFRSF17	2	BCM|BCMA|CD269|TNFRSF13A	tumor necrosis factor receptor superfamily member 17
MAML1	2	Mam-1|Mam1	mastermind like transcriptional coactivator 1
PC	2	PCB	pyruvate carboxylase
TUBB3	2	CDCBM|CDCBM1|CFEOM3|CFEOM3A|FEOM3|TUBB4|beta-4	tubulin beta 3 class III
ASPSCR1	2	ASPCR1|ASPL|ASPS|RCC17|TUG|UBXD9|UBXN9	alveolar soft part sarcoma chromosome region, candidate 1
TFDP1	2	DP1|DRTF1|Dp-1	transcription factor Dp-1
STAT4	2	SLEB11	signal transducer and activator of transcription 4
FOSL2	2	FRA2	FOS-like antigen 2
BCL7A	2	BCL7	B-cell CLL/lymphoma 7A
LRP6	2	ADCAD2	LDL receptor related protein 6
MAP4K3	2	GLK|MAPKKKK3|MEKKK 3|MEKKK3|RAB8IPL1	mitogen-activated protein kinase kinase kinase kinase 3
DIS3L2	2	FAM6A|PRLMNS|hDIS3L2	DIS3 like 3'-5' exoribonuclease 2
YY1AP1	2	HCCA1|HCCA2|YAP|YY1AP	YY1 associated protein 1
ABCC1	2	ABC29|ABCC|GS-X|MRP|MRP1	ATP binding cassette subfamily C member 1
CASP10	2	ALPS2|FLICE2|MCH4	caspase 10
CPS1	2	CPSASE1|PHN	carbamoyl-phosphate synthase 1
PREX2	2	6230420N16Rik|DEP.2|DEPDC2|P-REX2|PPP1R129	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2
ASMTL	2	ASMTLX|ASMTLY|ASTML	acetylserotonin O-methyltransferase-like
HMGA2	2	BABL|HMGI-C|HMGIC|LIPO|STQTL9	high mobility group AT-hook 2
FEV	2	HSRNAFEV|PET-1	FEV (ETS oncogene family)
CD58	2	LFA-3|LFA3|ag3	CD58 molecule
ELF4	2	ELFR|MEF	E74-like factor 4 (ets domain transcription factor)
XBP1	2	TREB-5|TREB5|XBP-1|XBP2	X-box binding protein 1
MTAP	2	BDMF|DMSFH|DMSMFH|HEL-249|LGMBF|MSAP|c86fus	methylthioadenosine phosphorylase
HIST1H4B	1	H4/I|H4FI	histone cluster 1, H4b
ELANE	1	ELA2|GE|HLE|HNE|NE|PMN-E|SCN1	elastase, neutrophil expressed
HIST1H4E	1	H4/j|H4FJ	histone cluster 1, H4e
HIST1H4I	1	H4/m|H4FM|H4M	histone cluster 1, H4i
UGT1A	1	GNT1|UGT|UGT1|UGT1A@	UDP glucuronosyltransferase 1 family, polypeptide A complex locus
RNF111	1	ARK	ring finger protein 111
HSPA8	1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	heat shock protein family A (Hsp70) member 8
TCOF1	1	MFD1|TCS|TCS1|treacle	Treacher Collins-Franceschetti syndrome 1
TAP1	1	ABC17|ABCB2|APT1|D6S114E|PSF-1|PSF1|RING4|TAP1*0102N|TAP1N	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)
SP1	1	-	Sp1 transcription factor
PCSK7	1	LPC|PC7|PC8|SPC7	proprotein convertase subtilisin/kexin type 7
RAB40A	1	RAR2|RAR2A	RAB40A, member RAS oncogene family
COL7A1	1	EBD1|EBDCT|EBR1|NDNC8	collagen, type VII, alpha 1
BAK1	1	BAK|BAK-LIKE|BCL2L7|CDN1	BCL2-antagonist/killer 1
ITGA6	1	CD49f|ITGA6B|VLA-6	integrin subunit alpha 6
PHLDA1	1	DT1P1B11|PHRIP|TDAG51	pleckstrin homology-like domain, family A, member 1
ZNF451	1	COASTER|dJ417I1.1	zinc finger protein 451
CSDE1	1	D1S155E|UNR	cold shock domain containing E1, RNA binding
MTCP1	1	P13MTCP1|p8MTCP1	mature T-cell proliferation 1
TTK	1	CT96|ESK|MPH1|MPS1|MPS1L1|PYT	TTK protein kinase
TTL	1	-	tubulin tyrosine ligase
IL4	1	BCGF-1|BCGF1|BSF-1|BSF1|IL-4	interleukin 4
ANAPC1	1	APC1|MCPR|TSG24	anaphase promoting complex subunit 1
ZEB2	1	HSPC082|SIP-1|SIP1|SMADIP1|ZFHX1B	zinc finger E-box binding homeobox 2
RAG2	1	RAG-2	recombination activating gene 2
